Time,Date,kwh
3pm ,24-Mar-2014,0.384  
5am ,15-Aug-2014,1.201  
8pm ,20-Mar-2014,1.523  
6pm ,23-Apr-2014,0.424 
1am ,19-Dec-2014,0.209   
5am ,19-Aug-2014,1.228  
12pm , 7-Jul-2014,1.296 
7am ,25-Nov-2014,0.437
8am ,14-Aug-2014,0.523 
4pm ,25-Jan-2014,2.052kwh  
4pm ,11-Feb-2014,0.509 
1am ,11-Jul-2014,0.547 
12am ,28-Dec-2014,0.845kwh
8pm ,01-Apr-2014,0.557 
3am ,04-Feb-2014,0.283 
11pm ,11-May-2014,0.344   
7pm ,24-Jun-2014,2.948  
1am ,19-Jun-2014,0.378 
8pm ,23-Sep-2014,0.963   
12pm ,26-Jul-2014,1.469   
11am ,23-Jun-2014,1.017
9am ,01-Jul-2014,0.626   
1pm ,11-Feb-2014,0.547 
11am ,23-Dec-2014,0.578kwh 
10pm ,20-Dec-2014,0.392  
10am ,17-May-2014,0.514 
12pm ,28-Apr-2014,0.147
1pm , 8-Mar-2014,0.542
11pm ,21-Jan-2014,0.89kwh 
12am ,17-Jan-2014,0.546
12am , 2-Apr-2014,0.10kwh
12am , 1-Jun-2014,1.67  
4pm ,24-Oct-2014,0.269kwh
6am ,03-Oct-2014,0.626kwh
10pm ,15-Nov-2014,0.203   
2am ,08-May-2014,0.178kwh 
10pm ,25-Apr-2014,0.231
10am , 8-Sep-2014,0.308kwh
4pm ,03-Sep-2014,0.33  
4am ,24-Aug-2014,0.385   
8pm ,23-Mar-2014,1.67   
12am , 9-Jan-2014,0.54 
1am ,15-May-2014,0.15
11pm ,31-Oct-2014,0.558  
12pm ,15-Aug-2014,0.552
8am ,15-Mar-2014,0.988  
6pm ,21-Jan-2014,2.912  
10pm ,26-Oct-2014,0.246 
8am ,02-May-2014,0.272kwh
2pm ,30-Nov-2014,0.403  
6am ,13-Apr-2014,0.245  
1pm , 7-Jul-2014,0.874  
9pm ,17-Jan-2014,0.672kwh 
3pm , 7-Jan-2014,0.84kwh 
9pm ,31-May-2014,0.326
5pm ,18-Dec-2014,1.53kwh 
1pm ,13-Feb-2014,0.432 
1pm ,17-Jun-2014,0.814  
11pm ,11-Aug-2014,0.618
12pm ,13-Feb-2014,0.594 
11pm , 5-Oct-2014,0.264kwh 
9pm ,14-Mar-2014,0.314  
3am , 6-Sep-2014,0.185 
6pm , 6-Nov-2014,0.731   
2am ,09-Jan-2014,0.40kwh
2pm ,13-Dec-2014,0.986 
11pm , 6-May-2014,0.464  
4pm ,9-Jan-2014,0.848  
3am , 5-Feb-2014,0.228kwh
9am ,16-Jul-2014,0.799  
12am ,08-May-2014,0.245   
12am ,25-Dec-2014,0.333kwh
4am ,23-Jan-2014,0.384 
7pm , 3-Sep-2014,1.008kwh
6pm ,07-Nov-2014,0.624 
3am , 7-Jul-2014,0.394kwh 
11am ,15-Nov-2014,0.289kwh 
12am ,05-Mar-2014,0.266kwh  
11pm ,13-Aug-2014,0.612kwh
3pm ,20-Nov-2014,0.151   
6pm ,17-Mar-2014,1.165  
1am ,22-Jan-2014,0.376   
11pm ,03-Jul-2014,1.164  
6am ,13-Mar-2014,1.066  
8pm ,24-Feb-2014,2.304kwh
10pm , 7-Dec-2014,0.55 
10am ,04-Jun-2014,0.655   
3pm ,02-Mar-2014,0.842  
4pm ,16-Jul-2014,0.998kwh  
12pm ,23-Feb-2014,0.583  
3am ,13-Jan-2014,0.38kwh  
1pm ,16-Oct-2014,0.25kwh 
1am ,29-Dec-2014,0.22kwh 
12pm ,07-May-2014,0.416kwh
6pm ,22-Feb-2014,2.462
8am ,15-Jul-2014,0.835   
1am ,29-Jul-2014,0.576 
9am ,24-Feb-2014,0.324
2am , 2-Jan-2014,0.348  
3am ,11-Mar-2014,0.155kwh
6pm ,18-Apr-2014,0.445kwh 
9am , 7-Jul-2014,0.763  
4am ,3-May-2014,0.23  
1pm ,07-Mar-2014,0.285 
8am ,02-Oct-2014,0.192
6am ,30-Aug-2014,0.998 
3am ,17-Dec-2014,0.209 
3am ,09-Sep-2014,0.157kwh  
11am ,24-Dec-2014,0.578kwh 
8pm ,17-Apr-2014,0.418kwh  
2pm ,05-Jun-2014,0.59 
2pm , 5-Oct-2014,0.504 
5am ,15-Jan-2014,2.574   
11am ,15-Oct-2014,0.351kwh
5am ,19-Sep-2014,0.924kwh
9am ,24-Dec-2014,0.37
4pm ,08-Apr-2014,0.144
2pm ,20-Aug-2014,0.576
7pm ,1-Apr-2014,0.562  
12am ,26-Apr-2014,0.194kwh  
5am , 7-Aug-2014,1.386kwh
8am ,20-Jul-2014,2.558
2am ,09-Sep-2014,0.158  
9am ,23-May-2014,0.209  
11am , 5-Nov-2014,0.252 
9am ,22-Sep-2014,0.174kwh  
2pm , 8-Jan-2014,0.728   
12pm ,21-Mar-2014,0.416
10am ,30-Dec-2014,0.431   
1pm ,12-Mar-2014,0.294kwh
3am ,16-Nov-2014,0.122kwh  
6am ,15-Nov-2014,0.367kwh  
4am , 2-May-2014,0.154
6am , 8-May-2014,0.797  
1pm ,08-Oct-2014,0.223kwh 
11pm ,25-May-2014,0.372kwh 
7pm ,18-Nov-2014,0.778
12pm ,26-Feb-2014,0.702kwh 
10pm ,19-Sep-2014,0.412
10am ,13-Apr-2014,0.166 
6am ,21-Aug-2014,1.166 
3am ,21-May-2014,0.162 
5am ,30-Oct-2014,0.601kwh 
12am , 2-Dec-2014,0.267kwh
9pm ,06-Jun-2014,0.785  
11am ,30-Dec-2014,0.446kwh 
7pm ,15-Jul-2014,4.277kwh
1am ,25-Aug-2014,0.226kwh
12am ,13-Aug-2014,0.396kwh  
10am ,21-Feb-2014,0.413  
7pm ,22-Jul-2014,4.277kwh  
12am , 2-Sep-2014,0.172 
2am ,14-Mar-2014,0.152kwh 
8am ,24-Feb-2014,0.461kwh
11am ,20-Jan-2014,0.93kwh
7pm ,13-Jul-2014,4.925kwh  
8pm ,28-Apr-2014,0.538  
9am ,08-Dec-2014,0.30  
2pm ,26-Jul-2014,2.189kwh 
7am ,31-Oct-2014,0.556  
12pm ,14-May-2014,0.372  
7pm ,22-Jan-2014,3.564   
4pm ,04-Sep-2014,0.269
10pm ,15-Jun-2014,1.035kwh  
7am ,19-Jul-2014,2.909   
2pm ,25-Dec-2014,0.40  
2pm ,14-Jan-2014,0.672kwh 
2pm ,12-Dec-2014,0.488
1pm ,22-May-2014,0.317  
1am ,31-Jan-2014,0.436  
3am ,20-Jul-2014,0.806kwh
4am ,12-Dec-2014,0.176kwh
4pm ,6-Oct-2014,0.288
4am ,29-Jan-2014,0.324   
7am ,28-Jun-2014,2.354kwh
5pm ,30-Jan-2014,2.73   
8am ,24-Oct-2014,0.24  
3pm ,27-Oct-2014,0.286  
2am ,24-May-2014,0.204  
4pm , 2-Jun-2014,0.756 
1pm ,2-May-2014,0.304
3am , 7-Jun-2014,0.437  
6pm ,31-Jul-2014,3.494 
5pm ,17-Dec-2014,1.187  
9am ,1-Mar-2014,0.864kwh
8am ,01-Jun-2014,2.083kwh  
2pm ,11-Aug-2014,0.514  
12pm ,01-Jun-2014,0.94 
9pm ,05-Apr-2014,0.113kwh
12am , 6-Sep-2014,0.655kwh 
7pm ,29-Nov-2014,0.689   
8pm ,13-Apr-2014,0.524
10pm , 6-Oct-2014,0.288kwh  
12am ,19-Aug-2014,0.346kwh  
4am ,28-Apr-2014,0.061  
11pm ,24-Oct-2014,0.648 
7am ,15-Apr-2014,0.216 
10pm ,24-May-2014,0.368  
8am ,15-Apr-2014,0.108   
6am ,14-Jul-2014,3.168kwh 
3am ,23-Jun-2014,0.32 
4pm ,13-Feb-2014,0.523   
6pm ,17-Nov-2014,0.662kwh  
8am ,27-Jan-2014,0.864 
10am ,22-Jul-2014,1.133 
2am ,19-Jan-2014,0.684kwh 
6pm ,25-Jan-2014,3.492kwh
9am ,31-Oct-2014,0.173kwh 
5am , 5-Oct-2014,0.212   
5am ,26-Jan-2014,0.618  
1am ,19-Feb-2014,0.233   
11am ,24-Jan-2014,1.10  
5pm ,28-Mar-2014,1.009
7pm ,7-Sep-2014,1.474  
3am ,19-Sep-2014,0.155  
9pm ,22-Jun-2014,1.069kwh 
2pm ,24-Mar-2014,0.307kwh  
7pm , 5-Jan-2014,4.068kwh  
9am , 5-Nov-2014,0.109 
